case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,Reflection,VIP,medium,2,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,18934,,57.4,0,,91.5,91.5,60.2,1.228
CASE_001,Reflection,VIP,medium,2,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,19036,186.11,10.3,0,,82.1,82.1,60.36,1.0384
CASE_001,Reflection,VIP,medium,2,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,19036,166.53,11.5,0,,82.3,82.3,60.36,1.0424
CASE_002,Reflection,VIP,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,31196,,53.1,0,,90.6,90.6,79.76,1.9204
CASE_002,Reflection,VIP,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,31348,284.72,16.9,0,,83.4,83.4,80.0,1.702
CASE_002,Reflection,VIP,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,31348,274.99,17.5,0,,83.5,83.5,80.0,1.705
CASE_015,Reflection,VIP,easy,1,3,5,5,75.0,100.0,True,True,,,True,85.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,19002,,41.1,0,,83.0,83.0,60.31,0.2269
CASE_015,Reflection,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,19080,190.76,7.7,0,,81.5,81.5,60.43,0.2107
CASE_015,Reflection,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,19080,107.73,13.6,0,,82.7,82.7,60.43,0.2227
CASE_075,Reflection,VIP,easy,1,5,4,5,92.5,100.0,True,,,,,95.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18965,,41.1,0,,86.6,86.6,60.25,0.2635
CASE_075,Reflection,VIP,easy,1,3,5,5,75.0,100.0,True,,,,,85.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,19067,159.65,9.2,0,,76.6,76.6,60.41,0.1619
CASE_075,Reflection,VIP,easy,1,,,,0.0,100.0,True,,,,,40.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,19067,107.33,13.7,0,,61.7,61.7,60.41,0.0129
CASE_090,Reflection,VIP,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18943,,57.4,0,,84.7,84.7,60.21,1.0919
CASE_090,Reflection,VIP,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,19045,181.38,10.6,0,,75.3,75.3,60.38,0.9022
CASE_090,Reflection,VIP,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,19045,107.39,17.8,0,,76.7,76.7,60.38,0.9302
CASE_141,Reflection,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18966,,41.1,0,,88.2,88.2,60.25,0.2795
CASE_141,Reflection,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,19047,172.47,8.5,0,,81.7,81.7,60.38,0.2132
CASE_141,Reflection,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,19047,107.31,13.7,0,,82.7,82.7,60.38,0.2232
