case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,Reflection,Adversarial,medium,2,5,5,3,90.0,100.0,True,,,True,,94.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,25668,,67.1,0,,91.3,91.3,56.3,1.263
CASE_001,Reflection,Adversarial,medium,2,5,3,4,80.0,100.0,True,,,True,,88.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,25668,227.0,17.1,0,,79.2,79.2,56.3,1.021
CASE_001,Reflection,Adversarial,medium,2,5,3,4,80.0,100.0,True,,,True,,88.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,25668,249.02,15.6,0,,78.9,78.9,56.3,1.015
CASE_002,Reflection,Adversarial,hard,3,4,5,4,82.5,100.0,True,,,True,,89.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,37966,,79.8,0,,92.3,92.3,79.99,1.9691
CASE_002,Reflection,Adversarial,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,37974,374.33,13.8,0,,82.8,82.8,80.0,1.684
CASE_002,Reflection,Adversarial,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,37974,382.43,13.5,0,,82.7,82.7,80.0,1.681
CASE_015,Reflection,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25624,,45.5,0,,84.4,84.4,56.24,0.2816
CASE_015,Reflection,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25632,279.82,7.5,0,,76.8,76.8,56.25,0.2055
CASE_015,Reflection,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25624,216.06,9.7,0,,77.3,77.3,56.24,0.2106
CASE_075,Reflection,Adversarial,easy,1,5,5,4,95.0,100.0,True,,,,,97.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25637,,45.5,0,,88.0,88.0,56.26,0.3174
CASE_075,Reflection,Adversarial,easy,1,3,5,5,75.0,100.0,True,,,,,85.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25636,254.06,8.3,0,,76.4,76.4,56.25,0.2015
CASE_075,Reflection,Adversarial,easy,1,3,5,4,70.0,100.0,True,,,,,82.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25637,142.56,14.7,0,,76.6,76.6,56.26,0.2034
CASE_090,Reflection,Adversarial,medium,2,4,4,5,80.0,100.0,True,True,,True,,88.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25709,,67.0,0,,89.2,89.2,56.35,1.2205
CASE_090,Reflection,Adversarial,medium,2,4,5,5,87.5,100.0,True,True,,True,,92.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25709,223.35,17.4,0,,80.9,80.9,56.35,1.0545
CASE_090,Reflection,Adversarial,medium,2,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25709,170.88,22.8,0,,83.5,83.5,56.35,1.1065
CASE_141,Reflection,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25653,,45.5,0,,89.1,89.1,56.28,0.3282
CASE_141,Reflection,Adversarial,easy,1,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25653,280.34,7.5,0,,80.4,80.4,56.28,0.2412
CASE_141,Reflection,Adversarial,easy,1,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,25653,273.0,7.7,0,,80.5,80.5,56.28,0.2422
