case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,ReAct,Adversarial,medium,2,5,5,3,90.0,100.0,True,,,True,,94.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,False,True,False,50.0,21816,,78.9,0,,79.5,79.5,71.37,0.8763
CASE_001,ReAct,Adversarial,medium,2,5,3,5,85.0,100.0,True,,,True,,91.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,False,True,False,50.0,21816,32.31,100.0,0,,82.7,82.7,71.37,0.9403
CASE_001,ReAct,Adversarial,medium,2,5,3,4,80.0,100.0,True,,,True,,88.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,False,True,False,50.0,21816,30.74,100.0,0,,81.6,81.6,71.37,0.9183
CASE_002,ReAct,Adversarial,hard,3,4,5,4,82.5,100.0,True,,,True,,89.5,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32114,,94.3,0,,78.9,78.9,99.85,1.3685
CASE_002,ReAct,Adversarial,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32210,45.25,100.0,0,,83.8,83.8,100.0,1.514
CASE_002,ReAct,Adversarial,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32210,45.02,100.0,0,,83.8,83.8,100.0,1.514
CASE_015,ReAct,Adversarial,easy,1,3,5,4,70.0,100.0,True,True,,,True,82.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32065,,36.4,0,,64.7,64.7,99.77,-0.3507
CASE_015,ReAct,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32065,44.37,47.3,0,,73.2,73.2,99.77,-0.2657
CASE_015,ReAct,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32065,44.0,47.7,0,,73.3,73.3,99.77,-0.2647
CASE_075,ReAct,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,21785,,53.6,0,,74.5,74.5,71.32,0.0318
CASE_075,ReAct,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,21785,30.04,69.9,0,,77.7,77.7,71.32,0.0638
CASE_075,ReAct,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,21785,30.12,69.7,0,,77.7,77.7,71.32,0.0638
CASE_090,ReAct,Adversarial,medium,2,4,4,4,75.0,100.0,True,True,,True,,85.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,17724,,97.2,0,,77.9,77.9,65.01,0.9079
CASE_090,ReAct,Adversarial,medium,2,5,4,5,92.5,100.0,True,True,,True,,95.5,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,17724,26.36,100.0,0,,82.2,82.2,65.01,0.9939
CASE_090,ReAct,Adversarial,medium,2,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,17724,26.16,100.0,0,,82.7,82.7,65.01,1.0039
CASE_141,ReAct,Adversarial,easy,1,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32118,,36.3,0,,70.0,70.0,99.86,-0.2986
CASE_141,ReAct,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32118,44.44,47.3,0,,73.2,73.2,99.86,-0.2666
CASE_141,ReAct,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32118,44.77,46.9,0,,73.1,73.1,99.86,-0.2676
