case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,Reflection,Polite,medium,2,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,18490,,81.8,0,,96.4,96.4,50.38,1.4242
CASE_001,Reflection,Polite,medium,2,5,3,5,85.0,100.0,True,,,True,,91.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,18492,107.74,19.1,0,,80.7,80.7,50.39,1.1101
CASE_001,Reflection,Polite,medium,2,5,3,5,85.0,100.0,True,,,True,,91.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,18490,161.71,12.7,0,,79.4,79.4,50.38,1.0842
CASE_002,Reflection,Polite,hard,3,4,5,5,87.5,100.0,True,,,True,,92.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,30418,,82.5,0,,93.9,93.9,79.98,2.0172
CASE_002,Reflection,Polite,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,30418,175.13,28.9,0,,85.8,85.8,79.98,1.7742
CASE_002,Reflection,Polite,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,30429,314.67,16.1,0,,83.2,83.2,80.0,1.696
CASE_015,Reflection,Polite,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18496,,39.8,0,,88.0,88.0,50.39,0.3761
CASE_015,Reflection,Polite,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18496,106.62,20.5,0,,84.1,84.1,50.39,0.3371
CASE_015,Reflection,Polite,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18496,186.4,11.7,0,,82.3,82.3,50.39,0.3191
CASE_075,Reflection,Polite,easy,1,3,3,5,60.0,100.0,True,,,,,76.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18532,,39.7,0,,79.5,79.5,50.45,0.2905
CASE_075,Reflection,Polite,easy,1,3,3,5,60.0,100.0,True,,,,,76.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18532,106.65,20.5,0,,75.7,75.7,50.45,0.2525
CASE_075,Reflection,Polite,easy,1,2,2,5,40.0,100.0,True,,,,,64.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18532,183.8,11.9,0,,69.8,69.8,50.45,0.1935
CASE_090,Reflection,Polite,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18510,,81.7,0,,96.3,96.3,50.42,1.4218
CASE_090,Reflection,Polite,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18518,106.19,19.4,0,,83.9,83.9,50.43,1.1737
CASE_090,Reflection,Polite,medium,2,2,2,5,40.0,100.0,True,True,,True,,64.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18508,156.85,13.1,0,,70.0,70.0,50.41,0.8959
CASE_141,Reflection,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18516,,39.7,0,,87.9,87.9,50.42,0.3748
CASE_141,Reflection,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18516,106.91,20.5,0,,84.1,84.1,50.42,0.3368
CASE_141,Reflection,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18516,186.26,11.7,0,,82.3,82.3,50.42,0.3188
