case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,PlanExecute,Adversarial,medium,2,4,3,4,67.5,66.7,True,True,,False,,67.2,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,22553,,62.5,0,,81.0,81.0,49.7,1.123
CASE_001,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,22517,42.55,60.2,0,,92.0,92.0,49.65,1.3435
CASE_001,PlanExecute,Adversarial,medium,2,4,5,4,82.5,100.0,True,True,,True,,89.5,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,22517,54.15,47.3,0,,85.8,85.8,49.65,1.2195
CASE_002,PlanExecute,Adversarial,hard,3,4,5,5,87.5,100.0,True,,,True,,92.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,17329,,100.0,0,,97.4,97.4,37.82,2.5438
CASE_002,PlanExecute,Adversarial,hard,3,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22996,48.44,100.0,0,,100.0,100.0,50.28,2.4972
CASE_002,PlanExecute,Adversarial,hard,3,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,23006,51.05,99.1,0,,99.8,99.8,50.29,2.4911
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22219,,51.4,0,,85.6,85.6,49.26,0.3634
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22263,43.01,48.8,0,,85.1,85.1,49.31,0.3579
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22214,40.37,52.0,0,,85.7,85.7,49.25,0.3645
CASE_075,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13752,,83.1,0,,96.6,96.6,38.11,0.5849
CASE_075,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13839,26.42,79.5,0,,95.9,95.9,38.22,0.5768
CASE_075,PlanExecute,Adversarial,easy,1,,,,0.0,100.0,True,True,,,,40.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13839,27.4,76.6,0,,74.3,74.3,38.22,0.3608
CASE_090,PlanExecute,Adversarial,medium,2,5,4,5,92.5,100.0,True,True,,True,,95.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13970,,100.0,0,,98.4,98.4,38.39,1.5841
CASE_090,PlanExecute,Adversarial,medium,2,3,5,5,75.0,100.0,True,True,,True,,85.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13970,26.24,97.5,0,,94.2,94.2,38.39,1.5001
CASE_090,PlanExecute,Adversarial,medium,2,4,4,5,80.0,100.0,True,True,,True,,88.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,14008,30.13,84.9,0,,92.8,92.8,38.44,1.4716
CASE_141,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13777,,82.9,0,,96.6,96.6,38.14,0.5846
CASE_141,PlanExecute,Adversarial,easy,1,5,5,3,90.0,100.0,True,True,,True,,94.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13777,29.91,70.2,0,,91.9,91.9,38.14,0.5376
CASE_141,PlanExecute,Adversarial,easy,1,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13777,30.02,70.0,0,,92.9,92.9,38.14,0.5476
CASE_001,ReAct,Adversarial,medium,2,5,5,3,90.0,100.0,True,,,True,,94.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,False,True,False,50.0,21816,,64.6,0,,76.6,76.6,58.72,0.9448
CASE_001,ReAct,Adversarial,medium,2,5,3,5,85.0,100.0,True,,,True,,91.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,False,True,False,50.0,21816,32.31,79.2,0,,78.5,78.5,58.72,0.9828
CASE_001,ReAct,Adversarial,medium,2,5,3,4,80.0,100.0,True,,,True,,88.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,False,True,False,50.0,21816,30.74,83.3,0,,78.3,78.3,58.72,0.9788
