case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,PlanExecute,Adversarial,medium,2,4,3,4,67.5,66.7,True,True,,False,,67.2,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,22553,,62.5,0,,81.0,81.0,49.7,1.123
CASE_002,PlanExecute,Adversarial,hard,3,4,5,5,87.5,100.0,True,,,True,,92.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,17329,,100.0,0,,97.4,97.4,37.82,2.5438
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22219,,51.4,0,,85.6,85.6,49.26,0.3634
CASE_075,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13752,,83.1,0,,96.6,96.6,38.11,0.5849
CASE_090,PlanExecute,Adversarial,medium,2,5,4,5,92.5,100.0,True,True,,True,,95.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13970,,100.0,0,,98.4,98.4,38.4,1.584
CASE_141,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13777,,82.9,0,,96.6,96.6,38.14,0.5846
CASE_001,ReAct,Adversarial,medium,2,5,5,3,90.0,100.0,True,,,True,,94.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,False,True,False,50.0,21816,,64.6,0,,76.6,76.6,58.73,0.9447
CASE_002,ReAct,Adversarial,hard,3,4,5,4,82.5,100.0,True,,,True,,89.5,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32114,,78.2,0,,75.7,75.7,82.29,1.4481
CASE_015,ReAct,Adversarial,easy,1,3,5,4,70.0,100.0,True,True,,,True,82.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,32065,,35.6,0,,64.6,64.6,82.23,-0.1763
CASE_075,ReAct,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,21785,,52.4,0,,74.2,74.2,58.69,0.1551
