case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,23547,40.04,95.3,0,,99.1,99.1,24.87,1.7333
CASE_001,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,22517,42.55,89.7,0,,97.9,97.9,24.66,1.7114
CASE_001,PlanExecute,Adversarial,medium,2,4,5,4,82.5,100.0,True,True,,True,,89.5,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,22517,54.15,70.5,0,,88.8,88.8,24.66,1.5294
CASE_002,PlanExecute,Adversarial,hard,3,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,23497,36.78,100.0,0,,100.0,100.0,24.86,2.7514
CASE_002,PlanExecute,Adversarial,hard,3,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22996,48.44,90.6,0,,98.1,98.1,24.76,2.6954
CASE_002,PlanExecute,Adversarial,hard,3,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,23006,51.05,86.0,0,,97.2,97.2,24.76,2.6684
CASE_003,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,True,True,,,,58.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,23607,42.44,89.3,0,,73.5,73.5,24.88,0.4862
CASE_004,PlanExecute,Adversarial,easy,1,2,2,4,35.0,100.0,True,True,,,,61.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,23546,41.19,92.0,0,,75.6,75.6,24.87,0.5073
CASE_005,PlanExecute,Adversarial,easy,1,1,1,3,10.0,100.0,True,True,,,,46.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,23587,42.29,89.6,0,,67.6,67.6,24.88,0.4272
CASE_006,PlanExecute,Adversarial,easy,1,1,1,2,5.0,100.0,True,True,,,,43.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,23261,39.16,96.7,0,,67.5,67.5,24.81,0.4269
CASE_007,PlanExecute,Adversarial,easy,1,4,2,3,55.0,100.0,True,True,,,,73.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23643,44.45,85.2,0,,80.2,80.2,24.89,0.5531
CASE_008,PlanExecute,Adversarial,easy,1,3,5,3,65.0,100.0,True,True,,,,79.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,23288,40.84,92.8,0,,88.1,88.1,24.82,0.6328
CASE_009,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,True,True,,,,58.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,23234,39.62,95.6,0,,74.8,74.8,24.81,0.4999
CASE_010,PlanExecute,Adversarial,easy,1,4,5,5,87.5,100.0,True,True,,,,92.5,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,23719,44.38,85.4,0,,93.3,93.3,24.91,0.6839
CASE_011,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,True,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23588,41.56,91.1,0,,88.2,88.2,24.88,0.6332
